state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Lousiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
F1,17595,1978,48192,6882,358173,35034,9663,2728,2348,168543,63908,5786,6678,61438,19647,7640,25842,18223,24514,4456,37824,127873,52921,28099,14948,27583,5460,9246,35828,335,44928,11056,89727,57724,5378,32684,10740,29072,49479,4133,27799,200,40354,227530,23532,2595,78470,42535,12601,29288,10569
F2,230697,50123,431912,61685,2921018,237770,140928,59794,33602,1304428,506992,47141,35171,427959,232522,62067,71248,280794,398725,31410,418823,290181,234637,133531,73507,272233,5460,30088,480920,28095,486454,112725,1120550,364974,20949,287815,98070,319540,367830,17972,185619,9408,358024,1434360,65990,12819,433593,341326,60596,175080,19098
F3,584973,61674,596459,596177,16430614,585068,147032,40904,58895,2476683,704029,60214,64785,596447,410458,366871,261244,194682,308094,33466,692312,630947,876113,389010,102512,756214,5460,70086,484083,53736,798513,248558,2015541,1118991,26208,401335,227109,247971,1057535,39601,415311,27286,329402,2120236,505477,9684,2227751,515672,113695,213056,30133
F4,452739,201519,7681313,203503,10360894,1350713,4302952,324675,218994,5000588,1242048,59193,215387,1869255,588490,200499,213818,211667,492460,77507,923931,1703301,1971230,1118188,185085,645009,5460,59955,1315784,731835,3801265,343709,6015445,1879430,6245,1607984,342439,659082,2454306,268491,367289,123148,679438,4965110,207141,20620,3029144,2511392,487824,796798,35695
F5,1152992,218309,2212261,976978,17972741,1954414,829695,747698,431626,6527154,1255393,1082605,125746,2497270,1277746,247117,338765,922694,415933,31684,974089,1366014,1341327,674631,657772,1606841,5460,91463,1132368,318565,2373687,1134534,3041012,1872877,51921,1975255,603129,1573734,2072191,48050,449776,211267,575091,6588736,634894,169043,2375407,2556802,179237,1742320,203433
F6,563623,90648,2673589,645213,10344865,1040955,1405616,197398,224589,7088634,1955817,317494,674586,1163688,1303647,835696,644531,846805,461192,127451,788590,381600,1629118,875345,595329,670240,5460,154535,2867948,122770,2657306,488396,5257910,1681060,146757,2242430,778779,1918953,3199440,54342,1470397,33361,821798,6565798,718678,16999,2370885,1502428,328820,786285,21707
