state,MainTarget,MainTargetLoss,value,M1,M1_complaints,M2,M2_complaints,M3,M3_complaints,M4,M4_complaints,M5,M5_complaints,M6,M6_complaints,F1,F1_complaints,F2,F2_complaints,F3,F3_complaints,F4,F4_complaints,F5,F5_complaints,F6,F6_complaints,Population
South Carolina,M6,1181133.81,5633903,17861,,236701,,334732,,416129,,1108665,,1181133,,21790,,187523,,189661,,663163,,730396,,546142,,4722621
South Dakota,M5,117030.54,592790,7071,,42845,,17403,,64167,,117030,,142154,,2680,,8030,,27303,,15438,,41930,,46734,,834504
Tennessee,F5,1090172.89,7327961,32991,,360195,,754739,,484488,,860521,,847718,,33231,,449224,,804392,,690480,,1090172,,919804,,6455177
Texas,F5,4394153.07,30445492,146140,,1358201,,3160996,,3763152,,3680005,,3219627,,175653,,1077641,,2744378,,3479689,,4394153,,3245852,,26094422
Utah,M3,496990.83,3006580,14926,,484440,,496990,,287056,,324450,,225526,,10972,,156826,,234448,,458050,,212830,,100059,,2855194
Vermont,F5,137582,563268,5439,,22794,,30620,,9986,,43073,,62421,,2052,,14352,,67260,,37524,,137582,,130159,,626138
Virginia,F5,1893124.4,12111084,59399,,572012,,553957,,1471279,,1228802,,1569478,,48623,,614638,,701707,,1544792,,1893124,,1853267,,8193422
Washington,F5,2241266.99,11515862,47517,,501023,,640557,,890018,,1386839,,2021630,,38524,,388307,,487569,,1330892,,2241266,,154714,,6896325
West Virginia,F5,753903.5,268498,18226,,35856,,110840,,150473,,502881,,88217,,12190,,73850,,77454,,725830,,753903,,118770,,1856313
Wisconsin,M5,1408422.37,8247486,27214,,295805,,395704,,516295,,1408422,,715556,,19282,,241320,,238859,,813376,,1109762,,465887,,5724888
Wyoming,M6,159011.04,613215,1635,,27452,,106287,,15077,,157025,,159011,,1140,,27000,,29951,,28591,,32441,,27599,,576893
