age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
 M1,11506,2585,22911,12469,461707,55267,22918,36545,1807,188437,49642,1168,5075,91121,64234,11167,23422,10944,37495,3679,68522,36571,46057,15465,11227,13127,4716,6572,16257,5984,70686,7469,112047,46065,3604,41700,16569,22377,88510,7000,17861,7071,32991,146140,14926,5439,59399,47517,18226,27214,1635,2133043
 M2,381643,47264,380501,168025,3381510,340853,264823,50605,49034,2185424,779679,56005,59180,553140,221049,129167,151447,225895,325248,63927,722198,307402,412172,175537,14223,327846,20668,54335,187567,35560,906614,162765,1637138,647348,32002,303823,131200,106237,584058,151786,236701,42845,360195,1358201,484440,22794,572012,501023,35856,295805,27452,20672220
 M3,468486,525063,596848,212878,6492948,508818,322933,153112,83558,2742215,1368918,51438,38528,1266640,557189,180926,189790,184552,302743,41110,1417277,790185,464984,479819,123590,418665,77972,82981,596826,47429,1614292,276155,2421864,1121119,333619,988770,371058,322300,1164792,18309,334732,17403,754739,3160996,496990,30620,553957,640557,110840,395704,106287,36023526
 M4,324374,28049,798876,570848,7661329,953069,354168,117612,97791,4886241,1409862,183050,92929,1679939,910773,373089,300016,237005,275686,349752,1197859,1313649,976335,741707,107006,956261,59914,305700,811172,179537,1685173,176433,3547150,897966,264066,798809,238605,570266,1193947,42926,416129,64167,484488,3763152,287056,9986,1471279,890018,150473,516295,15077,45737061
 M5,879890,377253,1203750,1152951,10073514,1273743,488058,35367,86437,3650479,1562880,598442,198216,2053685,936427,433500,516538,1874396,528698,111401,1332587,1101386,1951312,722568,133358,913353,193520,158213,979137,129479,1397014,341800,3363710,2063850,231483,1862651,700682,1084503,2260248,270812,1108665,117030,860521,3680005,324450,43073,1228802,1386839,502881,1408422,157025,60045005
 M6,400647,32578,2749305,357081,9095182,1208574,399902,221686,89350,5361752,1381052,304407,285485,1146331,1170063,287102,545331,473837,536328,191634,877875,770558,815310,608941,134499,871076,365759,109163,857861,60523,967921,225018,4193186,1181764,7699,923423,1143411,835704,1547404,44406,1181133,142154,847718,3219627,225526,62421,1569478,2021630,88217,715556,159011,53011599
