state,MainTarget,MainTargetLoss,value,M1,M1_complaints,M2,M2_complaints,M3,M3_complaints,M4,M4_complaints,M5,M5_complaints,M6,M6_complaints,F1,F1_complaints,F2,F2_complaints,F3,F3_complaints,F4,F4_complaints,F5,F5_complaints,F6,F6_complaints,Population,total_complaints
Ohio,F6,2242430,12345292,47360,133,324234,521,1161505,533,1518845,628,1490220,577,1255626,669,32684,70,287815,510,401335,585,1607984,669,1975255,715,2242430,504,11594163,6114
Oklahoma,M6,2145777,6240131,14279,42,145415,183,313605,162,1285439,189,275351,191,2145777,185,10740,31,98070,178,227109,221,342439,211,603129,243,778779,191,3878051,2027
Oregon,F6,1918953,9178386,22589,55,130246,202,1367216,255,557029,277,1149085,291,1203869,338,29072,44,319540,218,247971,240,659082,311,1573734,359,1918953,316,3970239,2906
Pennsylvania,M6,3442277,20806848,87510,170,1834877,695,1579769,768,2126666,794,2534968,856,3442277,809,49479,90,367830,726,1057535,730,2454306,864,2072191,962,3199440,674,12787209,8138
Rhode Island,M5,733741,1525758,4880,12,39202,55,109923,72,184051,50,733741,68,21374,47,4133,3,17972,47,39601,55,268491,59,48050,57,54342,57,1055173,582
South Carolina,M5,4358054,9077367,17732,50,233163,212,377384,237,452972,269,4358054,251,721873,336,27799,39,185619,226,415311,304,367289,350,449776,321,1470397,241,4832482,2836
South Dakota,M5,325952,1023368,1350,3,40779,29,97662,33,92402,38,325952,29,60551,27,200,5,9408,28,27286,39,123148,52,211267,24,33361,29,853175,336
Tennessee,M6,1071204,6453385,27438,59,212849,273,940920,353,660676,371,736191,346,1071204,440,40354,53,358024,385,329402,417,679438,461,575091,445,821798,306,6549352,3909
Texas,M5,7750815,50116593,186188,334,1744025,1411,5781154,1733,5326780,1652,7750815,1639,7425860,1530,227530,249,1434360,1637,2120236,1997,4965110,1779,6588736,1698,6565798,1295,26956958,16954
Utah,M3,1670049,6172314,23304,24,269039,196,1670049,226,520469,215,358773,155,1174968,200,23532,26,65990,180,505477,183,207141,145,634894,153,718678,122,2942902,1825
Vermont,M4,584869,1165746,4991,9,13916,30,132116,28,584869,41,57646,32,140447,55,2595,4,12819,24,9684,25,20620,37,169043,60,16999,37,626562,382
Virginia,F4,3029144,16571859,42383,101,517130,597,960072,670,1262893,628,1642669,687,1631461,758,78470,114,433593,661,2227751,812,3029144,769,2375407,748,2370885,567,8326289,7112
Washington,F5,2556802,14780493,53649,119,527176,537,1210707,662,2050645,687,2051227,582,1416932,703,42535,80,341326,533,515672,563,2511392,650,2556802,687,1502428,585,7061530,6388
West Virginia,F4,478824,2330137,6957,30,314233,63,86985,87,133646,109,440922,118,164621,84,12601,17,60596,80,113695,124,487824,148,179237,126,328820,102,1850326,1088
Wisconsin,F5,1742320,9235027,19015,63,741903,271,1047405,295,862279,315,806382,317,2015217,341,29288,49,175080,288,213056,325,796798,342,1742320,374,786285,251,5757564,3231
Wyoming,M6,630190,1236741,4060,8,9288,25,69312,46,115601,37,87656,37,630190,224,10569,9,19098,24,30133,32,35695,43,203433,43,21707,33,584153,561
