age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
 F1,59221,5871,60454,17166,282480,66289,20140,3117,3058,221105,47723,16022,181,34925,19842,8604,6566,37219,15322,1507,33696,32690,34492,13884,7429,23491,7321,3118,68559,19266,46419,7553,105768,92879,15233,61780,11957,22927,45151,441,21790,2680,33231,175653,10972,2052,48623,38524,12190,19282,1140,1947003
 F2,238180,94549,434317,134579,1991290,316025,102857,27078,62997,1045626,427714,307173,25895,336609,305790,116366,148119,122339,254111,27409,725076,345515,325752,115492,96863,218715,59027,45916,225215,41204,449968,70248,1278590,389763,12784,328612,154596,119462,493525,20950,187523,8030,449224,1077641,156826,14352,614638,388307,73850,241320,27000,15275006
 F3,412027,36978,436225,297923,4614086,339997,340676,107027,66906,2279272,740198,128501,47555,570476,471397,276953,65767,284143,277820,117824,666414,371027,360146,140262,292557,599451,62591,46075,1028784,45372,432896,275643,2177386,617722,17048,553109,143917,307099,1061992,31130,189661,27303,804392,2744378,234448,67260,701707,487569,77454,238859,29951,26745353
 F4,496647,166887,718633,181819,7759465,908391,377523,180340,51434,3810114,1046528,96789,905064,2003044,813361,452017,571730,498732,397518,56920,637203,785110,1590331,784546,172744,1259793,91164,295505,517472,164167,1924819,215837,3720936,1308288,234752,953741,194993,650844,1430630,257903,663163,15438,690480,3479689,458050,37524,1544792,1330892,725830,813376,28591,46347131
 F5,607867,266258,1009955,211577,8313675,886003,810199,711730,125700,3618464,1663883,229575,348677,3378401,758430,633684,324051,413928,641652,160119,1079063,783726,867127,335025,205576,801085,105152,171810,1075222,276941,1685019,502170,3762977,841213,234243,1766926,448507,404636,2386943,164686,730396,41930,1090172,4394153,212830,137582,1893124,2241266,753903,1109762,32441,55649435
 F6,812562,82268,3072439,247158,7992879,1501544,601925,205202,47406,4430220,1672442,329068,89667,1201795,802804,386152,527544,376174,348390,88447,1006218,496580,939147,582026,239323,705633,32382,121099,476585,93086,752683,105508,1787838,1007285,114251,1293565,242084,1720004,2044046,162717,546142,46734,919804,3245852,100059,130159,1853267,154714,118770,465887,27599,46347131
