state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Lousiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
M1,35564,8185,46726,14248,403637,43022,30411,2777,11799,158423,60589,1528,1716,73348,46557,31399,18960,17748,29311,11165,108496,58334,78814,66663,10877,23436,8287,11450,34509,5703,81142,15381,164855,47761,3755,47360,14279,22589,87510,4880,17732,1350,27438,186188,23304,4991,42383,53649,6957,19015,4060
M2,272382,86668,259442,75887,4057597,360271,172502,133029,46732,2113374,385003,37199,168971,1333737,247627,68403,93300,126727,227101,31502,431400,393517,656168,403054,178526,241883,26139,55639,463374,38856,770448,71807,1303980,391806,62761,324234,145415,130246,1834877,39202,233163,40779,212849,1744025,269039,13916,517130,527176,314233,741903,9288
M3,289594,47753,5100188,247008,10013116,783921,388212,560852,153258,4338063,1085619,270657,730147,2245024,341302,128582,154945,712291,414278,61866,930039,627602,1715863,602184,150160,501269,37407,2381760,1248450,48700,2063731,586789,11290849,925277,64611,1161505,313605,1367216,1579769,109923,377384,97662,940920,5781154,1670049,132116,960072,1210707,86985,1047405,69312
M4,726951,38841,645739,488434,20807407,1666243,912751,138261,251309,5351936,1503776,184883,111147,3185184,498064,255178,303679,609406,1624113,110940,878925,987629,1596830,1033699,56432,749133,35795,77901,1108416,151809,1423594,308058,4993233,1671829,173302,1518845,1285439,557029,2126666,184051,452972,92402,660676,5326780,520469,584869,1262893,2050645,133646,862279,115601
M5,731892,332660,2528541,304594,18588624,1178691,861265,67247,76929,10453426,5115877,172481,258507,3226965,672307,307656,592874,890152,686283,188756,1618386,4577579,1024647,1075891,437483,783329,126601,220441,2189840,727205,1742362,396150,5947305,1626017,912337,1490220,275351,1149085,2534968,733741,4358054,325952,736191,7750815,358773,57646,1642669,2051227,440922,806382,87656
M6,470169,135406,3175590,352001,19105110,2251387,2277767,159106,41677,7571856,1968680,257960,987468,4004979,625882,176752,1659235,511225,786213,132980,1207063,1165163,1230000,3041252,118047,878924,130011,623235,933243,798215,2989292,460343,5910452,1725251,19894,1255626,2145777,1203869,3442277,21374,721873,60551,1071204,7425860,1174968,140447,1631461,1416932,164621,2015217,630190
